Solver,C,Accuracy,F1-Score
liblinear,0.1,0.92,0.92
liblinear,0.2,0.92,0.92
liblinear,0.3,0.92,0.92
liblinear,0.4,0.92,0.92
liblinear,0.5,0.92,0.92
liblinear,0.6,0.92,0.92
liblinear,0.7,0.92,0.92
liblinear,0.8,0.92,0.92
liblinear,0.9,0.92,0.92
liblinear,1.0,0.92,0.92
liblinear,1.1,0.92,0.92
liblinear,1.2,0.92,0.92
liblinear,1.3,0.92,0.92
liblinear,1.4,0.92,0.92
liblinear,1.5,0.92,0.92
liblinear,1.6,0.92,0.92
liblinear,1.7,0.92,0.92
liblinear,1.8,0.92,0.92
liblinear,1.9,0.92,0.92
liblinear,2.0,0.92,0.92
liblinear,2.1,0.92,0.92
liblinear,2.2,0.92,0.92
liblinear,2.3,0.92,0.92
liblinear,2.4,0.92,0.92
liblinear,2.5,0.92,0.92
liblinear,2.6,0.92,0.92
liblinear,2.7,0.92,0.92
liblinear,2.8,0.92,0.92
liblinear,2.9,0.92,0.92
liblinear,3.0,0.92,0.92
lbfgs,0.1,0.92,0.92
lbfgs,0.2,0.93,0.93
lbfgs,0.3,0.93,0.93
lbfgs,0.4,0.93,0.93
lbfgs,0.5,0.93,0.93
lbfgs,0.6,0.93,0.93
lbfgs,0.7,0.93,0.93
lbfgs,0.8,0.93,0.93
lbfgs,0.9,0.93,0.93
lbfgs,1.0,0.93,0.93
lbfgs,1.1,0.93,0.93
lbfgs,1.2,0.93,0.93
lbfgs,1.3,0.93,0.93
lbfgs,1.4,0.93,0.93
lbfgs,1.5,0.93,0.93
lbfgs,1.6,0.93,0.93
lbfgs,1.7,0.93,0.93
lbfgs,1.8,0.93,0.93
lbfgs,1.9,0.93,0.93
lbfgs,2.0,0.93,0.93
lbfgs,2.1,0.93,0.93
lbfgs,2.2,0.93,0.93
lbfgs,2.3,0.93,0.93
lbfgs,2.4,0.93,0.93
lbfgs,2.5,0.93,0.93
lbfgs,2.6,0.93,0.93
lbfgs,2.7,0.93,0.93
lbfgs,2.8,0.93,0.93
lbfgs,2.9,0.93,0.93
lbfgs,3.0,0.93,0.93
newton-cg,0.1,0.92,0.92
newton-cg,0.2,0.93,0.93
newton-cg,0.3,0.93,0.93
newton-cg,0.4,0.93,0.93
newton-cg,0.5,0.93,0.93
newton-cg,0.6,0.93,0.93
newton-cg,0.7,0.93,0.93
newton-cg,0.8,0.93,0.93
newton-cg,0.9,0.93,0.93
newton-cg,1.0,0.93,0.93
newton-cg,1.1,0.93,0.93
newton-cg,1.2,0.93,0.93
newton-cg,1.3,0.93,0.93
newton-cg,1.4,0.93,0.93
newton-cg,1.5,0.93,0.93
newton-cg,1.6,0.93,0.93
newton-cg,1.7,0.93,0.93
newton-cg,1.8,0.93,0.93
newton-cg,1.9,0.93,0.93
newton-cg,2.0,0.93,0.93
newton-cg,2.1,0.93,0.93
newton-cg,2.2,0.93,0.93
newton-cg,2.3,0.93,0.93
newton-cg,2.4,0.93,0.93
newton-cg,2.5,0.93,0.93
newton-cg,2.6,0.93,0.93
newton-cg,2.7,0.93,0.93
newton-cg,2.8,0.93,0.93
newton-cg,2.9,0.93,0.93
newton-cg,3.0,0.93,0.93
